Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,O3,2017-12-01 01:00 AM,2017,12,01,01,10.0,9,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 02:00 AM,2017,12,01,02,6.0,6,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 03:00 AM,2017,12,01,03,7.0,6,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 04:00 AM,2017,12,01,04,13.0,12,Good,17.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 05:00 AM,2017,12,01,05,13.0,12,Good,13.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 06:00 AM,2017,12,01,06,9.0,8,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 07:00 AM,2017,12,01,07,7.0,6,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 08:00 AM,2017,12,01,08,10.0,9,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 09:00 AM,2017,12,01,09,12.0,11,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 10:00 AM,2017,12,01,10,26.0,24,Good,30.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 11:00 AM,2017,12,01,11,48.0,44,Good,51.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 12:00 PM,2017,12,01,12,57.0,58,Moderate,58.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 01:00 PM,2017,12,01,13,52.0,48,Good,52.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 02:00 PM,2017,12,01,14,62.0,74,Moderate,63.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 03:00 PM,2017,12,01,15,63.0,77,Moderate,63.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 04:00 PM,2017,12,01,16,51.0,47,Good,48.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 05:00 PM,2017,12,01,17,43.0,40,Good,33.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 06:00 PM,2017,12,01,18,23.0,21,Good,17.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 07:00 PM,2017,12,01,19,15.0,14,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 08:00 PM,2017,12,01,20,7.0,6,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 09:00 PM,2017,12,01,21,7.0,6,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 10:00 PM,2017,12,01,22,6.0,6,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2017-12-01 11:00 PM,2017,12,01,23,6.0,6,Good,5.0,PPB,1 Hr,Valid
